"Reference","Value","Footprint","Qty","DNP"
"C5,C8","10uF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","2",""
"C6","0,47uF","Capacitor_THT:C_Radial_D4.0mm_H5.0mm_P1.50mm","1",""
"C7","33uF","Capacitor_THT:C_Radial_D4.0mm_H5.0mm_P1.50mm","1",""
"IC1","LD1117v33","Package_TO_SOT_THT:TO-220-3_Vertical","1",""
"J1","Screw_Terminal_01x02","TerminalBlock_MetzConnect:TerminalBlock_MetzConnect_Type101_RT01602HBWC_1x02_P5.08mm_Horizontal","1",""
"J2","LCD_screeen","Connector_Molex:Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical","1",""
"J8","GPIO","Module:Raspberry_Pi_Zero_Socketed_THT_FaceDown_MountingHoles","1",""
"J9","Switches","Connector_Molex:Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical","1",""
"J10","LED_status","Connector_Molex:Molex_KK-254_AE-6410-08A_1x08_P2.54mm_Vertical","1",""
"R1,R2","10k","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","2",""
"R3,R4,R5,R6,R7","220","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","5",""
"U1","NRF24L01P","NRF24L01P-MODULE-PCB:XCVR_NRF24L01P-MODULE-PCB","1",""
